127.0.0.1, 2018-05-06 11:58:35, GET, /, HTTP/1.1, 303, 0.143000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/default/index, HTTP/1.1, 200, 4.003000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 11:58:39, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 11:58:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 11:58:40, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 11:58:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 11:58:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 11:58:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:00:31, GET, /admin/default/index, HTTP/1.1, 200, 0.589000
127.0.0.1, 2018-05-06 12:00:31, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-05-06 12:00:31, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:00:31, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.002000
